SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.9218789286662967e-19	1.6987106242576962e-20	1.0	173.0	141.0	124.308739279766	508.040963127618	508.040963127618	122.0	50.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.0411146296734338e-10	1.5256996670695875e-11	2.0	66.0	65.0	108.65586453406799	0.0	0.0	64.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.176961931650143e-14	4.143620929874217e-15	3.0	209.0	176.0	67.7952528973456	0.0	0.0	207.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.3142152978658703e-19	7.640533860401146e-21	4.0	58.0	56.0	24.651637743496398	5.69488016289128	5.69488016289128	56.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2588632182655515e-18	8.364262959601936e-20	5.0	101.0	100.0	55.96230113918329	84.36248450315699	84.36248450315699	89.0	10.0	LoF
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	8.678262374802465e-15	5.886223556401329e-16	6.0	32.0	30.0	13.6293993416204	77.7910393810366	77.7910393810366	22.0	10.0	LoF
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	7.191364502731124e-21	4.180887566506765e-22	7.0	40.0	38.0	22.6079137923311	0.0	0.0	40.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.160842728304306e-31	1.837638470061137e-32	8.0	36.0	36.0	24.9206845055808	9.894753532279099	9.894753532279099	34.0	2.0	Act
CTCF	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.920302545664182e-09	3.814061847614863e-10	9.0	32.0	29.0	7.09608919815634	115.42526466437	115.42526466437	16.0	15.0	LoF
ARID1A	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.11669423915229495	0.06966785875647129	9.0	72.0	69.0	3.67092783007182	159.86242149782498	159.86242149782498	17.0	54.0	LoF
