SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.0238774155876015e-23	2.17414942983482e-24	1.0	242.0	168.0	105.521407250722	427.926093207397	427.926093207397	114.0	45.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.107856688355286e-24	4.921084660605462e-25	2.0	212.0	177.0	60.7865892786609	0.0	0.0	206.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.0789276412699534e-09	8.01566698364898e-11	3.0	68.0	67.0	99.08015513963457	0.0	0.0	65.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.0663152714903595e-25	1.1164550271752536e-26	4.0	56.0	53.0	22.411197754755698	10.7504658361325	10.7504658361325	54.0	0.0	Act
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.1444270123259572e-19	6.183476978442454e-21	5.0	98.0	89.0	10.3959623422296	57.013167964641	57.013167964641	23.0	10.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.048646994486064e-25	1.1069086443191934e-26	6.0	81.0	79.0	28.6323618478897	43.43116064046021	43.43116064046021	59.0	8.0	LoF
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.084250000000002e-13	6.3909090909091035e-15	7.0	95.0	92.0	31.1639322270495	0.0	0.0	92.0	0.0	Act
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.536262228541905e-25	1.370373027949396e-26	8.0	44.0	42.0	21.2595051893462	0.0	0.0	40.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.0936540263943012e-37	1.6715385293637646e-38	9.0	37.0	37.0	22.260950387409807	9.16031397683134	9.16031397683134	33.0	2.0	Act
CTCF	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0071049214712088065	0.0011516623920359214	9.0	66.0	59.0	6.96981012373183	128.059764822789	128.059764822789	17.0	19.0	LoF
