SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.8620882672239987e-21	1.591684243223219e-22	1.0	208.0	159.0	108.36736845871799	490.068466574353	490.068466574353	140.0	66.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.6372209569978685e-20	2.0227563743133468e-21	2.0	214.0	179.0	54.73259347616629	0.0	0.0	211.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2930679309739087e-22	7.191098453244662e-24	3.0	57.0	54.0	18.508508833362104	4.48446925755475	4.48446925755475	54.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2404172430902285e-23	6.898293820840365e-25	4.0	103.0	101.0	51.59761842188539	63.6651905787656	63.6651905787656	92.0	9.0	LoF
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.926136072968585e-16	2.1834298388552446e-17	4.0	48.0	43.0	10.989955046716199	42.4890141387599	42.4890141387599	34.0	11.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.8459346924316997e-10	2.8517702595042433e-11	6.0	69.0	68.0	104.527943304552	0.0	0.0	67.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.965889424684073e-20	4.430045301442056e-21	7.0	44.0	44.0	29.270868326817602	14.0950275902028	14.0950275902028	41.0	3.0	Act
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.708011954365229e-31	1.5059982627313948e-32	8.0	39.0	37.0	21.947762028555694	0.0	0.0	39.0	0.0	Act
ARID1A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0057990981132310425	0.001421946981464851	9.0	83.0	79.0	2.5936960661591004	132.91491843983601	132.91491843983601	17.0	63.0	LoF
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	2.3697451344182798e-12	1.7571719848071625e-13	9.0	91.0	89.0	38.6245637572919	0.0	0.0	90.0	0.0	Act
CTCF	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.4537157927858753e-05	1.4484737065937632e-06	11.0	36.0	33.0	7.93168060578479	114.70955497272499	114.70955497272499	19.0	16.0	LoF
SPOP	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.670597112123664e-23	3.709698417706619e-24	12.0	28.0	26.0	20.4628031468817	17.3582126443046	17.3582126443046	25.0	2.0	Act
CHD4	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	7.081725237281309e-22	3.93833782280576e-23	13.0	56.0	53.0	9.30172805245519	3.27109334385459	3.27109334385459	52.0	2.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps	2.784426951989533e-10	2.0039343145539548e-11	14.0	8.0	8.0	18.836365325095606	0.0	0.0	8.0	0.0	Act
BCOR	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	5.585155235973487e-12	3.993499291195797e-13	14.0	41.0	39.0	3.67976774375499	1.78388054102876	1.78388054102876	33.0	1.0	Act
NFE2L2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	2.4601948211888916e-18	1.3681804914925962e-19	14.0	22.0	21.0	17.8088202104158	0.0	0.0	22.0	0.0	Act
ZFHX3	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.8906365118883475e-09	5.173292130059043e-10	14.0	34.0	31.0	1.42538229862973	14.182407120276899	14.182407120276899	17.0	10.0	LoF
TAF1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.076711688344997e-12		18.0	42.0	40.0	7.21714337042862	0.0	0.0	40.0	0.0	Act
SOS1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	1.2938300874170392e-15		18.0	15.0	15.0	6.559768901132928	0.0	0.0	15.0	0.0	Act
ACVR1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,mutpanning	3.220788150099353e-11	2.388222524082848e-12	18.0	16.0	15.0	8.80368577445097	0.0	0.0	15.0	0.0	Act
DICER1	1	dndscv,oncodrivefml,hotmaps,smregions,mutpanning	hotmaps,smregions	2.9973824522521053e-15	1.8184636117107222e-16	18.0	23.0	20.0	5.57886168930261	0.0	0.0	22.0	0.0	Act
FOXA2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,smregions,cbase,mutpanning	2.211518365482984e-14		22.0	11.0	10.0	5.79577357016876	39.847291555203	39.847291555203	9.0	2.0	LoF
MGA	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodrivefml,hotmaps,smregions,cbase	9.389866785936952e-13		23.0	25.0	22.0	2.1100121716810603	9.52556608037666	9.52556608037666	15.0	7.0	LoF
AKT1	1	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	4.2203176213544415e-12	3.069195833630916e-13	24.0	12.0	11.0	4.25345770474003	0.0	0.0	10.0	0.0	Act
CCND1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.175808976944702e-07	5.620145615224504e-08	25.0	17.0	14.0	8.89531272153514	43.09048081081679	43.09048081081679	12.0	3.0	LoF
ARHGAP35	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.4131215621343e-10		25.0	35.0	34.0	2.70835726027509	26.613781420566802	26.613781420566802	18.0	12.0	LoF
