SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	2.8205117743723566e-06	7.881975989570539e-06	1.0	4.0	4.0	4.49799610825788	86.4367823217789	86.4367823217789	1.0	3.0	LoF
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning	oncodriveclustl,dndscv,mutpanning	7.619406955350136e-14	1.0779041982469537e-13	2.0	9.0	9.0	89.1793416610491	0.0	0.0	7.0	0.0	Act
PRKAR1A	1	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	6.52273926622543e-10	9.227605350830815e-10	3.0	2.0	2.0	0.0	448.204899524702	448.204899524702	0.0	2.0	LoF
ARHGEF40	1	dndscv,oncodrivefml,mutpanning		5.138690447063267e-07		4.0	2.0	2.0	0.0	89.48234233308479	89.48234233308479	0.0	2.0	LoF
RMDN1	1	dndscv,oncodrivefml,mutpanning		1.0818843527018743e-06		5.0	2.0	2.0	0.0	374.287393865055	374.287393865055	0.0	2.0	LoF
MEN1	1	dndscv,oncodrivefml,mutpanning		1.618602496668932e-05	3.8163478178735066e-05	6.0	2.0	2.0	0.0	319.962357981681	319.962357981681	0.0	1.0	LoF
MUC16	1	dndscv,cbase	cbase	9.399682205193936e-06	2.3935619329654558e-05	7.0	13.0	11.0	10.3617100594909	0.0	0.0	13.0	0.0	Act
NF1	1	dndscv,oncodrivefml,mutpanning		4.177590915327026e-05	0.00016885614073855834	7.0	5.0	5.0	0.0	40.4036586792211	40.4036586792211	0.0	2.0	LoF
EYS	1	oncodrivefml,smregions,mutpanning	smregions	1.0818843527018743e-06		9.0	3.0	3.0	3.30732514773048	52.4204075073836	52.4204075073836	1.0	2.0	LoF
TTN	1	smregions,cbase	smregions,cbase	0.00010355532543196166		10.0	10.0	10.0	2.0146047163168	4.91216564013649	4.91216564013649	7.0	2.0	LoF
RB1	1	oncodrivefml,mutpanning		3.183743457217833e-06	7.881975989570539e-06	11.0	2.0	2.0	0.0	84.605441273277	84.605441273277	0.0	2.0	LoF
LRRD1	3	dndscv,oncodrivefml		4.024252040237256e-05		12.0	2.0	2.0	0.0	214.561696492752	214.561696492752	0.0	2.0	LoF
OR5B12	4	dndscv,oncodrivefml		0.08908842982733982		12.0	2.0	2.0	31.8485106619883	523.794255499224	523.794255499224	1.0	1.0	LoF
SPATA31E1	3	dndscv,smregions,mutpanning		0.00017968085945848598		14.0	4.0	3.0	28.537084551289702	0.0	0.0	4.0	0.0	Act
PCDHA11	3	oncodrivefml,mutpanning		0.0006136286270720817		15.0	2.0	2.0	8.20871523258041	117.847204510256	117.847204510256	1.0	1.0	LoF
TRIOBP	3	oncodrivefml,mutpanning		2.485390226230325e-05		15.0	3.0	3.0	6.47761427320183	29.898550128193197	29.898550128193197	2.0	1.0	LoF
UNC13C	3	oncodrivefml,mutpanning		7.426286136560027e-05		15.0	2.0	2.0	5.25567557513343	37.5324296288501	37.5324296288501	1.0	1.0	LoF
DSC2	3	dndscv,smregions,mutpanning		0.00016243432058286221		18.0	3.0	3.0	24.1773594372122	99.6172509326927	99.6172509326927	2.0	1.0	LoF
ABCC11	3	oncodrivefml,mutpanning		4.177590915327026e-05		19.0	2.0	2.0	8.16097321566755	72.6354739468227	72.6354739468227	1.0	1.0	LoF
ADGRV1	3	oncodrivefml,smregions,mutpanning		0.0036478492769564047		20.0	3.0	3.0	2.89148015523911	12.1982948451264	12.1982948451264	2.0	1.0	LoF
ABCA13	4	cbase		0.06326685198063074		21.0	3.0	3.0	0.0	8.047247116760209	8.047247116760209	0.0	1.0	LoF
A2ML1	3	cbase		0.00034954556975149304		21.0	2.0	2.0	8.19798391803035	62.9066949391917	62.9066949391917	1.0	1.0	LoF
KIF5A	3	dndscv,mutpanning		0.0007423678815498465		58.0	4.0	4.0	37.5792481220279	0.0	0.0	4.0	0.0	Act
