SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
MET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	2.4346756636635673e-34	4.2798908979095754e-35	1.0	21.0	20.0	22.0824443867302	0.0	0.0	21.0	0.0	Act
CUL3	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	5.173452438757987e-09	9.094357960637193e-10	2.0	8.0	7.0	7.57370191962618	81.2454061812124	81.2454061812124	4.0	4.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,mutpanning	1.2502712659817286e-10	2.1978387885724176e-11	3.0	5.0	5.0	38.145175974972	0.0	0.0	5.0	0.0	Act
PBRM1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	2.3460018469192962e-08	4.124012122419768e-09	4.0	8.0	8.0	2.4684586552335803	36.9549117706495	36.9549117706495	3.0	3.0	LoF
NF2	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv,mutpanning	1.2502712659817286e-10	2.1978387885724176e-11	5.0	8.0	7.0	1.80091682168923	56.1666567664575	56.1666567664575	1.0	2.0	LoF
KDM6A	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.2502712659817286e-10	2.1978387885724176e-11	6.0	8.0	7.0	2.81816874183967	30.2406246171874	30.2406246171874	3.0	3.0	LoF
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	6.338264702335379e-08	1.1141969262241437e-08	7.0	8.0	8.0	1.07543271686168	32.1103328045499	32.1103328045499	1.0	4.0	LoF
KMT2C	1	dndscv,cbase,mutpanning		0.005456594835958596	0.003477132995041787	8.0	17.0	15.0	3.21839550778452	5.693253508375231	5.693253508375231	11.0	1.0	LoF
FAM91A1	1	dndscv,oncodrivefml,cbase,mutpanning		3.3228743012834365e-05		9.0	4.0	4.0	3.21852147769768	35.9718578151209	35.9718578151209	2.0	2.0	LoF
BAP1	1	dndscv,mutpanning		0.003910784207728203	0.0024242457228716915	9.0	8.0	8.0	10.6404312284236	0.0	0.0	7.0	0.0	Act
