SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.100993667449887e-12	6.684448602999023e-13	1.0	282.0	279.0	322.038044555341	1018.34354772836	1018.34354772836	236.0	44.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	6.481470202669445e-06	1.1324605169401006e-06	2.0	5.0	5.0	33.8282951238317	0.0	0.0	5.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl	3.3028413670139204e-09	6.492168428636992e-10	3.0	5.0	5.0	25.9131003009932	58.9024684410495	58.9024684410495	4.0	1.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3772026654405553e-05	2.932662080952148e-06	4.0	15.0	15.0	4.6662577960634914	57.6403859919913	57.6403859919913	7.0	8.0	LoF
BRCA1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.79242582123622e-06	1.144406135817282e-06	4.0	9.0	9.0	1.6047577294232198	67.37419243644871	67.37419243644871	2.0	7.0	LoF
RB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase,mutpanning	3.851417074810738e-09	6.72930312893477e-10	6.0	8.0	8.0	5.0826136661741295	40.12623323278429	40.12623323278429	4.0	4.0	LoF
CDK12	1	dndscv,cbase,mutpanning	cbase,mutpanning	2.1268677019241286e-06	3.483864803050689e-07	7.0	9.0	9.0	5.89884150678324	45.0580613672167	45.0580613672167	6.0	3.0	LoF
ARHGAP35	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	3.801723599456501e-10		7.0	10.0	8.0	1.36134545114469	33.2881395998557	33.2881395998557	3.0	5.0	LoF
RB1CC1	1	oncodrivefml,cbase,mutpanning	oncodrivefml	4.2204130270574124e-05		9.0	4.0	4.0	0.970308347523227	24.2956899478524	24.2956899478524	1.0	3.0	LoF
LRRC30	1	dndscv,oncodrivefml,cbase,mutpanning		1.2485651178497436e-05		9.0	4.0	3.0	7.74446993326152	206.931663129635	206.931663129635	2.0	2.0	LoF
DOCK5	1	oncodrivefml,cbase,mutpanning	cbase	4.556567253035562e-05		9.0	6.0	5.0	3.3102230378654105	12.553732707296	12.553732707296	4.0	2.0	LoF
IGSF3	1	oncodrivefml,cbase,mutpanning	cbase	0.004708982395535778		9.0	9.0	8.0	8.56625784448397	13.787624707588	13.787624707588	8.0	1.0	LoF
CACNG6	1	dndscv,oncodrivefml,cbase		5.936176495489321e-06		13.0	3.0	3.0	4.09097831898997	127.39903084186301	127.39903084186301	1.0	2.0	LoF
TLE4	1	oncodrivefml,cbase		0.0001137635315750333		14.0	4.0	4.0	3.1467386575249203	26.210631043625607	26.210631043625607	2.0	2.0	LoF
NOTCH4	1	dndscv,smregions,cbase,mutpanning		8.574539783673413e-06		15.0	11.0	11.0	4.5128625433113	18.0990243533824	18.0990243533824	9.0	1.0	LoF
EOMES	1	oncodrivefml,cbase		0.0005809822973029443		16.0	3.0	3.0	1.65732272628526	46.2607516302324	46.2607516302324	1.0	2.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase		3.5168190130508264e-06	5.530215672792293e-07	16.0	4.0	4.0	0.0	18.062069184461	18.062069184461	0.0	3.0	LoF
ZNF133	1	oncodriveclustl,smregions,mutpanning	oncodriveclustl,smregions,mutpanning	5.0883812541891356e-05		18.0	8.0	8.0	8.89336550721808	0.0	0.0	7.0	0.0	Act
DNAH1	1	cbase,mutpanning		0.00801197090123135		19.0	11.0	10.0	2.7873739589759303	6.270078733511468	6.270078733511468	9.0	1.0	LoF
LRP1B	1	cbase,mutpanning	mutpanning	0.0004686986084016093	0.0001992567515249603	19.0	12.0	11.0	5.05254764430966	7.1591507148230304	7.1591507148230304	12.0	0.0	Act
OBSCN	1	cbase,mutpanning		0.003474174802688672		19.0	12.0	12.0	1.3896534699226102	4.49822477507086	4.49822477507086	8.0	2.0	LoF
DCTN1	1	cbase,mutpanning		0.0011473398170716096	0.0006640449725436357	19.0	7.0	6.0	6.456916956383768	9.30970209889327	9.30970209889327	6.0	1.0	LoF
LCT	1	cbase,mutpanning	cbase	0.0006301917466917665		19.0	10.0	10.0	7.09642428972794	9.85292043140524	9.85292043140524	9.0	1.0	LoF
HUWE1	1	cbase,mutpanning		0.004259521077574807		19.0	14.0	13.0	2.22750987638512	6.3941873494909585	6.3941873494909585	10.0	2.0	LoF
DOCK2	1	cbase,mutpanning		0.0006616077924114865		19.0	10.0	9.0	8.750489607042741	6.861602588166112	6.861602588166112	10.0	0.0	Act
BRCA2	1	cbase,mutpanning	cbase	0.00045555767653357557	0.00018484176687129256	19.0	7.0	7.0	2.0960710994273	17.7670653148149	17.7670653148149	4.0	3.0	LoF
UTP20	1	cbase,mutpanning		0.011534279549837349		19.0	6.0	6.0	2.53697989109955	10.6795097871048	10.6795097871048	4.0	2.0	LoF
QRICH2	1	oncodriveclustl,mutpanning	mutpanning	0.012593447888818006		28.0	5.0	3.0	4.09102390791438	0.0	0.0	5.0	0.0	Act
C10orf71	1	cbase,mutpanning		0.000256790313964116		28.0	6.0	6.0	4.7447641890297305	18.341371673557802	18.341371673557802	5.0	1.0	LoF
LANCL2	1	oncodriveclustl,mutpanning		0.026544311943598086		30.0	2.0	2.0	0.0	23.202171544889	23.202171544889	0.0	0.0	ambiguous
TAS2R1	1	dndscv,cbase	dndscv	0.000321424585794643		31.0	7.0	7.0	25.579158064249892	114.32039938988001	114.32039938988001	6.0	1.0	LoF
MDN1	1	cbase,mutpanning		0.02550010995943129		32.0	12.0	12.0	2.2776157491054	1.9492857034447	1.9492857034447	10.0	1.0	Act
FAM47A	3	oncodriveclustl,dndscv		0.003220408047858993		33.0	12.0	12.0	7.05489970635828	0.0	0.0	10.0	0.0	Act
NBPF12	4	oncodriveclustl,smregions		0.3815158643669807		33.0	5.0	5.0	5.08671626836195	0.0	0.0	5.0	0.0	Act
RIF1	3	hotmaps	hotmaps	0.01266588643729539		35.0	6.0	6.0	2.1097137933372303	3.99615640852694	3.99615640852694	5.0	0.0	Act
CPSF3	3	hotmaps		0.0020562121650078086		36.0	4.0	2.0	6.64269318998118	0.0	0.0	4.0	0.0	Act
LHCGR	3	hotmaps		0.003981434840558276		37.0	3.0	3.0	6.21363524311911	0.0	0.0	3.0	0.0	Act
