SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.2766846511404e-16	4.644618837512786e-17	1.0	359.0	335.0	11.849327771636801	28.2946800915872	28.2946800915872	262.0	48.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0003697921124398002	5.981648201638903e-05	2.0	98.0	84.0	1.4826601628648002	14.359400047841303	14.359400047841303	42.0	34.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.0736934253615144e-06	1.881827677108343e-07	3.0	24.0	24.0	8.33849972570439	123.82677590194099	123.82677590194099	7.0	12.0	LoF
NFE2L2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	6.365528117964673e-16	3.187070911565533e-17	4.0	73.0	69.0	12.8594289332577	0.0	0.0	68.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	1.6078016557728234e-20	8.049886503869345e-22	4.0	55.0	54.0	5.36364900023892	0.746299946935061	0.746299946935061	50.0	1.0	Act
FAT1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.6579218062728373e-09	1.6634490330191982e-10	6.0	65.0	57.0	1.5244860022209998	15.366289858060501	15.366289858060501	32.0	21.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.495007564518226e-21	2.751221649352833e-22	7.0	45.0	43.0	4.606007670114232	24.7691981509834	24.7691981509834	20.0	12.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.705686263628048e-18	2.3560269520194548e-19	8.0	60.0	59.0	17.7178710154003	185.58342439310695	185.58342439310695	30.0	20.0	LoF
RASA1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.598925295274666e-10		9.0	27.0	26.0	1.89640297594906	17.8927071977637	17.8927071977637	9.0	11.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.483046617050887e-10	3.8360750680298646e-11	10.0	25.0	25.0	2.18150125467108	16.1250872733203	16.1250872733203	12.0	6.0	LoF
HRAS	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	4.5833066098954404e-08	2.906688810786193e-09	11.0	7.0	7.0	21.792749563300198	0.0	0.0	7.0	0.0	Act
KEAP1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.763434165091267e-13	8.8291020444353e-15	12.0	53.0	48.0	9.496405381188222	2.4489639657161097	2.4489639657161097	46.0	1.0	Act
NSD1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.544217579646876e-11	1.7745067719476913e-12	13.0	23.0	23.0	1.84344576485238	12.397401869258001	12.397401869258001	12.0	8.0	LoF
