SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
MET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	4.8643897474606234e-29	9.693431777360048e-30	1.0	21.0	20.0	21.7952822912752	0.0	0.0	21.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,mutpanning	1.2354998225849775e-11	2.462021725833116e-12	2.0	5.0	5.0	36.776329949044296	0.0	0.0	5.0	0.0	Act
CUL3	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.5889716644125324e-10	3.1663968606096574e-11	3.0	8.0	7.0	7.02618669266879	75.4105229319248	75.4105229319248	4.0	4.0	LoF
KDM6A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	3.641696953430669e-10	7.256931044706727e-11	4.0	6.0	5.0	2.5904829283423	27.8170576594239	27.8170576594239	3.0	3.0	LoF
PBRM1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.5889716644125324e-10	3.1663968606096574e-11	5.0	6.0	6.0	2.4594819971246697	36.6332520277119	36.6332520277119	3.0	3.0	LoF
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	2.679619407631835e-09	5.339767014090268e-10	6.0	5.0	5.0	0.995547607297952	29.6384384005112	29.6384384005112	1.0	4.0	LoF
SMARCA4	1	dndscv,cbase,mutpanning	cbase,mutpanning	1.5548685712349353e-06	3.0984384887940444e-07	7.0	12.0	11.0	6.71241409935999	6.739476894078491	6.739476894078491	10.0	1.0	ambiguous
SETD2	1	oncodrivefml,cbase,mutpanning	cbase	1.1062185322587387e-06	2.2043985844060393e-07	8.0	6.0	6.0	2.07661897332035	15.7915262048983	15.7915262048983	4.0	2.0	LoF
NF2	1	dndscv,smregions,mutpanning	dndscv	7.947926596248655e-06	1.7597887283787625e-06	9.0	4.0	3.0	1.82298874004756	56.9486498890569	56.9486498890569	1.0	2.0	LoF
SMC6	1	oncodrivefml,cbase,mutpanning		4.179334660457196e-05		10.0	5.0	5.0	3.53343843271016	17.5251675532698	17.5251675532698	3.0	2.0	LoF
FAM91A1	1	dndscv,oncodrivefml,cbase,mutpanning		1.8823734855911392e-06		10.0	4.0	4.0	3.1019286279333	34.2713132786601	34.2713132786601	2.0	2.0	LoF
TMEM131L	1	oncodrivefml,mutpanning		0.002087263584222859		12.0	5.0	5.0	2.4417837670814304	14.296587198361001	14.296587198361001	3.0	2.0	LoF
NRAP	1	oncodriveclustl,hotmaps,smregions	smregions	0.00012091217937724507		13.0	7.0	5.0	5.34564070653954	0.0	0.0	7.0	0.0	Act
BRAF	1	oncodriveclustl,smregions		0.009891385286706442	0.008381349062230347	14.0	4.0	4.0	4.451886762362969	0.0	0.0	3.0	0.0	Act
UQCR10	1	dndscv,oncodrivefml		0.0007045494625306265		14.0	2.0	2.0	19.0385060857524	233.894778790924	233.894778790924	1.0	1.0	LoF
TTN	1	oncodriveclustl,smregions		0.029257712715184733		14.0	51.0	46.0	1.31384401223952	1.59893788120512	1.59893788120512	36.0	4.0	LoF
ORC2	1	dndscv,oncodrivefml		0.0048567635444147226		14.0	4.0	4.0	6.94804867343844	16.6941037299699	16.6941037299699	3.0	1.0	LoF
VCAN	1	oncodriveclustl,smregions		0.007663866151666458		14.0	9.0	8.0	1.15732966015018	7.58761736754817	7.58761736754817	4.0	2.0	LoF
TP53	1	dndscv,oncodrivefml		0.0011654210268099842	0.0005716611374574666	14.0	4.0	4.0	9.4584012677969	28.987113515427108	28.987113515427108	3.0	1.0	LoF
CLEC18A	1	oncodriveclustl,smregions		0.04741635725540352		14.0	3.0	2.0	8.39544610994704	0.0	0.0	3.0	0.0	Act
PIK3CA	1	oncodriveclustl,hotmaps		0.0003231851343045528	0.00010948370634168487	14.0	4.0	3.0	5.4988183271744	0.0	0.0	4.0	0.0	Act
USH2A	1	cbase,mutpanning		0.0010594777292021096		22.0	13.0	13.0	3.21454038703711	0.0	0.0	12.0	0.0	Act
KMT2C	1	cbase,mutpanning		0.002503402036706743	0.0013205151472682052	22.0	12.0	12.0	2.8320202307671	5.543926831127	5.543926831127	10.0	1.0	LoF
MDN1	1	cbase,mutpanning		0.0048451951357309534		22.0	8.0	7.0	1.07482733136677	3.70086100522902	3.70086100522902	5.0	2.0	LoF
RAI1	1	cbase,mutpanning	cbase	0.002426953947169579		22.0	7.0	5.0	4.51363076630527	13.3016225664977	13.3016225664977	6.0	1.0	LoF
CENPF	1	cbase,mutpanning	cbase	0.0009438946781334608		22.0	7.0	7.0	2.42109126113139	8.9549215339969	8.9549215339969	5.0	2.0	LoF
HERC2	1	cbase,mutpanning	cbase	0.0008793930127645624		22.0	12.0	12.0	2.95258059696308	2.85139537845825	2.85139537845825	10.0	1.0	ambiguous
SRRM2	1	cbase,mutpanning		0.0007045494625306265		22.0	11.0	10.0	4.04755189553757	6.100273192197468	6.100273192197468	9.0	1.0	LoF
HERC1	1	cbase,mutpanning		0.007913213974076929		22.0	10.0	9.0	2.27241329186954	2.51878158143277	2.51878158143277	8.0	1.0	LoF
WDFY3	1	cbase,mutpanning		0.00014252419721971874		22.0	12.0	11.0	3.54140627096424	6.29787185718066	6.29787185718066	10.0	1.0	LoF
CSMD3	1	cbase,mutpanning		0.007913213974076929	0.00659241364860315	22.0	7.0	6.0	2.11556355486259	3.0911557188445498	3.0911557188445498	6.0	1.0	LoF
KAT6A	1	mutpanning		0.01456676494859665	0.015143296105067287	32.0	5.0	5.0	2.64200085467461	7.05158952147061	7.05158952147061	4.0	1.0	LoF
POLR1A	1	oncodrivefml,cbase		0.004763929386887821		32.0	5.0	5.0	3.2742855826972206	7.70717076068212	7.70717076068212	4.0	1.0	LoF
PLCB3	1	oncodrivefml		0.02092208970140409		34.0	2.0	2.0	1.12172124199377	10.4532237489972	10.4532237489972	1.0	1.0	LoF
CPNE4	1	oncodrivefml		0.017454078403080914		34.0	2.0	2.0	1.98113269112874	16.682469886256598	16.682469886256598	1.0	1.0	LoF
PIEZO2	1	oncodrivefml		0.005931278218837587		34.0	3.0	2.0	0.0	7.20058217670637	7.20058217670637	0.0	2.0	LoF
DNAH5	1	oncodrivefml,cbase		0.0010594777292021096		37.0	4.0	4.0	0.619585363409332	5.87194276156047	5.87194276156047	2.0	2.0	LoF
GBF1	1	oncodrivefml,cbase		0.001160806686257358		38.0	8.0	8.0	5.30242843717369	0.0	0.0	8.0	0.0	Act
COX10	4	oncodriveclustl		0.1560020593724636		39.0	5.0	5.0	6.624511476363	0.0	0.0	3.0	0.0	Act
