SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.9851956687925602e-19	9.817055115089824e-21	1.0	329.0	311.0	10.909229950401599	28.787659231506602	28.787659231506602	229.0	44.0	LoF
KMT2D	4	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.32086832672986976	0.2668945559767332	2.0	100.0	85.0	1.58983595242548	16.0533541736712	16.0533541736712	41.0	35.0	LoF
NFE2L2	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	7.340335054519416e-14	3.629892756983083e-15	3.0	73.0	70.0	12.9911584977302	0.0	0.0	67.0	0.0	Act
PIK3CA	2	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.306935968987547e-18	1.1408103448215006e-19	4.0	59.0	58.0	5.66580782143074	0.745648961579963	0.745648961579963	53.0	1.0	Act
CDKN2A	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.8424409729312865e-09	3.755913622089127e-10	5.0	58.0	55.0	15.559098964867196	157.79134948373502	157.79134948373502	27.0	17.0	LoF
RB1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.899093233421662e-05	1.3810687037549125e-06	6.0	22.0	22.0	5.81517417867765	95.448618304531	95.448618304531	6.0	11.0	LoF
FAT1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.382843792532489e-25	1.6728609919459343e-26	7.0	67.0	59.0	1.3079899376909	13.237340788084301	13.237340788084301	31.0	19.0	LoF
PTEN	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.9851956687925602e-19	9.817055115089824e-21	8.0	46.0	44.0	6.29422142662929	34.0855057304629	34.0855057304629	20.0	12.0	LoF
MB21D2	2	oncodriveclustl,mutpanning	mutpanning	5.190782002825652e-08	3.2669768041010176e-09	9.0	18.0	17.0	2.867694555827	5.91991116401335	5.91991116401335	13.0	2.0	LoF
RASA1	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.425179235118457e-13		10.0	28.0	26.0	1.79979447894962	15.6161379394242	15.6161379394242	9.0	10.0	LoF
KDM6A	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.1452340017665482e-09	8.090476558021981e-11	11.0	20.0	18.0	10.6024243847311	50.6722874153595	50.6722874153595	13.0	6.0	LoF
HRAS	2	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	4.80442519416589e-07	2.9698147435096198e-08	12.0	7.0	7.0	18.4393569996705	0.0	0.0	7.0	0.0	Act
NSD1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.971251944722126e-07	5.460187972070174e-08	13.0	25.0	25.0	1.94540870232768	13.469492841324	13.469492841324	13.0	9.0	LoF
NF1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.8716378239533326e-11	2.2336721219839562e-12	13.0	48.0	46.0	1.80484286936978	8.592269740194661	8.592269740194661	25.0	14.0	LoF
ARID1A	2	oncodrivefml,cbase,mutpanning	cbase,mutpanning	9.519720208105407e-07	5.7164048660999535e-08	15.0	26.0	25.0	1.38685013919441	9.728604088143893	9.728604088143893	11.0	5.0	LoF
KEAP1	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	2.2566937847172963e-09	1.5344517653716634e-10	16.0	53.0	48.0	9.35131851550195	2.40489716540023	2.40489716540023	46.0	1.0	Act
TPTE	3	dndscv,mutpanning	mutpanning	1.7653027062190227e-10		17.0	56.0	54.0	3.6311605335870296	3.56015517724037	3.56015517724037	43.0	4.0	ambiguous
CUL3	2	dndscv,mutpanning	dndscv,mutpanning	3.0077259505959885e-09	1.9831470111320386e-10	17.0	16.0	16.0	2.5795029070870896	16.3271436828915	16.3271436828915	11.0	3.0	LoF
KMT2C	2	dndscv,cbase,mutpanning	cbase	0.0010251903282630713	0.00015209105249766583	19.0	52.0	48.0	1.94234880701195	6.92152774686316	6.92152774686316	32.0	13.0	LoF
ZNF750	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	7.585539109511256e-10		19.0	7.0	7.0	1.21090039441256	77.2783296145131	77.2783296145131	1.0	5.0	LoF
ARHGAP35	3	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	1.602285347353173e-05		21.0	26.0	25.0	5.463009247852348	21.1395945703816	21.1395945703816	17.0	6.0	LoF
KLF5	3	hotmaps,smregions,mutpanning	smregions,mutpanning	1.7360553111973533e-05		22.0	10.0	10.0	4.7839378148557685	0.0	0.0	9.0	0.0	Act
ZNF80	3	dndscv,oncodrivefml,mutpanning	dndscv	0.0001340712815338099		23.0	16.0	16.0	1.83699432437708	21.262887523105306	21.262887523105306	6.0	7.0	LoF
CFH	3	oncodrivefml,cbase,mutpanning	cbase	0.0009711184032974466		24.0	26.0	26.0	5.293304315244849	10.303043800255999	10.303043800255999	19.0	6.0	LoF
ZBBX	3	dndscv,cbase,mutpanning	cbase	0.005234359572876157		25.0	40.0	37.0	6.73472068980796	9.39167508081506	9.39167508081506	32.0	6.0	LoF
GALNT2	3	oncodrivefml,smregions,mutpanning	oncodrivefml	5.651336970921549e-05		26.0	6.0	6.0	2.52575908513823	36.11830067093489	36.11830067093489	2.0	4.0	LoF
